Method for Tracking ES,3
Is the Services Only (HMIS Project Type 6) affiliated with a residential project?,
Identify the Project ID's of the housing projects this project is affiliated with,
Organization Name,Possum Lodge 2
Organization ID,POS
Project Name,2018 PIT SH
Project ID,19841
HMIS Project Type,8
Method for Tracking ES,
Is the Services Only (HMIS Project Type 6) affiliated with a residential project?,
Identify the Project ID's of the housing projects this project is affiliated with,
Organization Name,Possum Lodge 2
Organization ID,POS
Project Name,2018 PIT SH - Chronic
Project ID,19845
HMIS Project Type,8
Method for Tracking ES,
Is the Services Only (HMIS Project Type 6) affiliated with a residential project?,
Identify the Project ID's of the housing projects this project is affiliated with,
Organization Name,Possum Lodge 2
Organization ID,POS
Project Name,2018 PIT TH
Project ID,19840
HMIS Project Type,2
Method for Tracking ES,
Is the Services Only (HMIS Project Type 6) affiliated with a residential project?,
Identify the Project ID's of the housing projects this project is affiliated with,
Organization Name,Possum Lodge 2
Organization ID,POS
Project Name,2018 PIT TH - Chronic
Project ID,19846
HMIS Project Type,2
Method for Tracking ES,
Is the Services Only (HMIS Project Type 6) affiliated with a residential project?,
Identify the Project ID's of the housing projects this project is affiliated with,
Organization Name,Possum Lodge 2
Organization ID,POS
Project Name,2018 SPM ES e/e
Project ID,19832
HMIS Project Type,1
Method for Tracking ES,0
Is the Services Only (HMIS Project Type 6) affiliated with a residential project?,
Identify the Project ID's of the housing projects this project is affiliated with,
Organization Name,Possum Lodge 2
Organization ID,POS
Project Name,2018 SPM ES nbn
Project ID,19833
HMIS Project Type,1
Method for Tracking ES,3
Is the Services Only (HMIS Project Type 6) affiliated with a residential project?,
Identify the Project ID's of the housing projects this project is affiliated with,
Organization Name,Possum Lodge 2
Organization ID,POS
Project Name,2018 SPM PSH
Project ID,19836
HMIS Project Type,3
Method for Tracking ES,
Is the Services Only (HMIS Project Type 6) affiliated with a residential project?,
Identify the Project ID's of the housing projects this project is affiliated with,
Organization Name,Possum Lodge 2
Organization ID,POS
Project Name,2018 SPM SH
Project ID,19835
HMIS Project Type,8
Method for Tracking ES,
Is the Services Only (HMIS Project Type 6) affiliated with a residential project?,
Identify the Project ID's of the housing projects this project is affiliated with,
Organization Name,Possum Lodge 2
Organization ID,POS
Project Name,2018 SPM TH
Project ID,19834
HMIS Project Type,2
Method for Tracking ES,
Is the Services Only (HMIS Project Type 6) affiliated with a residential project?,
Identify the Project ID's of the housing projects this project is affiliated with,
Organization Name,Possum Lodge 2
Organization ID,POS
Project Name,Bad LSA Person Data
Project ID,19856
HMIS Project Type,3
Method for Tracking ES,
Is the Services Only (HMIS Project Type 6) affiliated with a residential project?,
Identify the Project ID's of the housing projects this project is affiliated with,
Organization Name,Possum Lodge 2
Organization ID,POS
Project Name,Bad Parenting Youth Count
Project ID,19780
HMIS Project Type,3
Method for Tracking ES,
Is the Services Only (HMIS Project Type 6) affiliated with a residential project?,
Identify the Project ID's of the housing projects this project is affiliated with,
Organization Name,Possum Lodge 2
Organization ID,POS
Project Name,Cash Yes Zero Sources
Project ID,19814
HMIS Project Type,3
Method for Tracking ES,
Is the Services Only (HMIS Project Type 6) affiliated with a residential project?,
Identify the Project ID's of the housing projects this project is affiliated with,
Organization Name,Possum Lodge 2
Organization ID,POS
Project Name,DisCondAtExitDQcheck
Project ID,19847
HMIS Project Type,3
Method for Tracking ES,
Is the Services Only (HMIS Project Type 6) affiliated with a residential project?,
Identify the Project ID's of the housing projects this project is affiliated with,
Organization Name,Possum Lodge 2
Organization ID,POS
Project Name,ES nbn - Q6f/DQ7
Project ID,19749
HMIS Project Type,1
Method for Tracking ES,3
Is the Services Only (HMIS Project Type 6) affiliated with a residential project?,
Identify the Project ID's of the housing projects this project is affiliated with,
Organization Name,Possum Lodge 2
Organization ID,POS
Project Name,ESG HoH Mismacth
Project ID,19868
HMIS Project Type,1
Method for Tracking ES,0
Is the Services Only (HMIS Project Type 6) affiliated with a residential project?,
Identify the Project ID's of the housing projects this project is affiliated with,
Organization Name,Possum Lodge 2
Organization ID,POS
Project Name,ESG SO - Q6f/DQ7
Project ID,19750
HMIS Project Type,4
Method for Tracking ES,
Is the Services Only (HMIS Project Type 6) affiliated with a residential project?,
Identify the Project ID's of the housing projects this project is affiliated with,
Organization Name,Possum Lodge 2
Organization ID,POS
Project Name,Income Validation
Project ID,19859
HMIS Project Type,3
Method for Tracking ES,
Is the Services Only (HMIS Project Type 6) affiliated with a residential project?,
Identify the Project ID's of the housing projects this project is affiliated with,
Organization Name,Possum Lodge 2
Organization ID,POS
Project Name,LSAExit.Stat Testing
Project ID,19869
HMIS Project Type,3
Method for Tracking ES,
Is the Services Only (HMIS Project Type 6) affiliated with a residential project?,
Identify the Project ID's of the housing projects this project is affiliated with,
Organization Name,Possum Lodge 2
Organization ID,POS
Project Name,New Program - Safe haven
Project ID,19773
HMIS Project Type,8
Method for Tracking ES,
Is the Services Only (HMIS Project Type 6) affiliated with a residential project?,
Identify the Project ID's of the housing projects this project is affiliated with,
Organization Name,Possum Lodge 2
Organization ID,POS
Project Name,Other3917Daystest
Project ID,19870
HMIS Project Type,1
Method for Tracking ES,0
Is the Services Only (HMIS Project Type 6) affiliated with a residential project?,
Identify the Project ID's of the housing projects this project is affiliated with,
Organization Name,Possum Lodge 2
Organization ID,POS
Project Name,Parenting Youth Only PSH
Project ID,19696
HMIS Project Type,3
Method for Tracking ES,
Is the Services Only (HMIS Project Type 6) affiliated with a residential project?,
Identify the Project ID's of the housing projects this project is affiliated with,
Organization Name,Possum Lodge 2
Organization ID,POS
Project Name,Possum Lodge 2018 PATH SO
Project ID,19830
HMIS Project Type,4
Method for Tracking ES,
Is the Services Only (HMIS Project Type 6) affiliated with a residential project?,
Identify the Project ID's of the housing projects this project is affiliated with,
Organization Name,Possum Lodge 2
Organization ID,POS
Project Name,Possum Lodge 3.917A Age
Project ID,19815
HMIS Project Type,1
Method for Tracking ES,0
Is the Services Only (HMIS Project Type 6) affiliated with a residential project?,
Identify the Project ID's of the housing projects this project is affiliated with,
Organization Name,Possum Lodge 2
Organization ID,POS
Project Name,Possum Lodge 3.917B Age
Project ID,19812
HMIS Project Type,3
Method for Tracking ES,
Is the Services Only (HMIS Project Type 6) affiliated with a residential project?,
Identify the Project ID's of the housing projects this project is affiliated with,
Organization Name,Possum Lodge 2
Organization ID,POS
Project Name,Possum Lodge APR
Project ID,19686
HMIS Project Type,3
Method for Tracking ES,
Is the Services Only (HMIS Project Type 6) affiliated with a residential project?,
Identify the Project ID's of the housing projects this project is affiliated with,
Organization Name,Possum Lodge 2
Organization ID,POS
Project Name,Possum Lodge APR 27b
Project ID,19789
HMIS Project Type,3
Method for Tracking ES,
Is the Services Only (HMIS Project Type 6) affiliated with a residential project?,
Identify the Project ID's of the housing projects this project is affiliated with,
Organization Name,Possum Lodge 2
Organization ID,POS
Project Name,Possum Lodge APR SO
Project ID,19827
HMIS Project Type,4
Method for Tracking ES,
Is the Services Only (HMIS Project Type 6) affiliated with a residential project?,
Identify the Project ID's of the housing projects this project is affiliated with,
Organization Name,Possum Lodge 2
Organization ID,POS
Project Name,Possum Lodge APR v2
Project ID,19796
HMIS Project Type,3
Method for Tracking ES,
Is the Services Only (HMIS Project Type 6) affiliated with a residential project?,
Identify the Project ID's of the housing projects this project is affiliated with,
Organization Name,Possum Lodge 2
Organization ID,POS
Project Name,Possum Lodge Bad Entry Income Count
Project ID,19775
HMIS Project Type,3
Method for Tracking ES,
Is the Services Only (HMIS Project Type 6) affiliated with a residential project?,
Identify the Project ID's of the housing projects this project is affiliated with,
Organization Name,Possum Lodge 2
Organization ID,POS
Project Name,Possum Lodge CH mismatch
Project ID,19799
HMIS Project Type,3
Method for Tracking ES,
Is the Services Only (HMIS Project Type 6) affiliated with a residential project?,
Identify the Project ID's of the housing projects this project is affiliated with,
Organization Name,Possum Lodge 2
Organization ID,POS
Project Name,Possum Lodge LeaverStayer
Project ID,19784
HMIS Project Type,3
Method for Tracking ES,
Is the Services Only (HMIS Project Type 6) affiliated with a residential project?,
Identify the Project ID's of the housing projects this project is affiliated with,
Organization Name,Possum Lodge 2
Organization ID,POS
Project Name,Possum Lodge PSH - Q26
Project ID,19770
HMIS Project Type,3
Method for Tracking ES,
Is the Services Only (HMIS Project Type 6) affiliated with a residential project?,
Identify the Project ID's of the housing projects this project is affiliated with,
Organization Name,Possum Lodge 2
Organization ID,POS
Project Name,Possum Lodge Q13
Project ID,19783
HMIS Project Type,3
Method for Tracking ES,
Is the Services Only (HMIS Project Type 6) affiliated with a residential project?,
Identify the Project ID's of the housing projects this project is affiliated with,
Organization Name,Possum Lodge 2
Organization ID,POS
Project Name,Possum Lodge Q20 and Q21
Project ID,19811
HMIS Project Type,3
Method for Tracking ES,
Is the Services Only (HMIS Project Type 6) affiliated with a residential project?,
Identify the Project ID's of the housing projects this project is affiliated with,
Organization Name,Possum Lodge 2
Organization ID,POS
Project Name,Possum Lodge Q6c mismatch
Project ID,19805
HMIS Project Type,3
Method for Tracking ES,
Is the Services Only (HMIS Project Type 6) affiliated with a residential project?,
Identify the Project ID's of the housing projects this project is affiliated with,
Organization Name,Possum Lodge 2
Organization ID,POS
Project Name,PSH - Q25e and Q26e testing
Project ID,19748
HMIS Project Type,3
Method for Tracking ES,
Is the Services Only (HMIS Project Type 6) affiliated with a residential project?,
Identify the Project ID's of the housing projects this project is affiliated with,
Organization Name,Possum Lodge 2
Organization ID,POS
Project Name,PSH Average Annual Check
Project ID,19695
HMIS Project Type,3
Method for Tracking ES,
Is the Services Only (HMIS Project Type 6) affiliated with a residential project?,
Identify the Project ID's of the housing projects this project is affiliated with,
Organization Name,Possum Lodge 2
Organization ID,POS
Project Name,RON Test
Project ID,19771
HMIS Project Type,
Method for Tracking ES,
Is the Services Only (HMIS Project Type 6) affiliated with a residential project?,
Identify the Project ID's of the housing projects this project is affiliated with,
Organization Name,Possum Lodge 2
Organization ID,POS
Project Name,RON Test ES
Project ID,19774
HMIS Project Type,1
Method for Tracking ES,0
Is the Services Only (HMIS Project Type 6) affiliated with a residential project?,
Identify the Project ID's of the housing projects this project is affiliated with,
Organization Name,Possum Lodge 2
Organization ID,POS
Project Name,SPM 5.1 ES test
Project ID,19838
HMIS Project Type,1
Method for Tracking ES,0
Is the Services Only (HMIS Project Type 6) affiliated with a residential project?,
Identify the Project ID's of the housing projects this project is affiliated with,
Organization Name,Possum Lodge 2
Organization ID,POS
Project Name,SPM CoC PSH Project
Project ID,19690
HMIS Project Type,3
Method for Tracking ES,
Is the Services Only (HMIS Project Type 6) affiliated with a residential project?,
Identify the Project ID's of the housing projects this project is affiliated with,
Organization Name,Possum Lodge 2
Organization ID,POS
Project Name,SPM ES Shelter - Return Test
Project ID,19692
HMIS Project Type,1
Method for Tracking ES,0
Is the Services Only (HMIS Project Type 6) affiliated with a residential project?,
Identify the Project ID's of the housing projects this project is affiliated with,
Organization Name,Possum Lodge 2
Organization ID,POS
Project Name,SPM ESG e/e Project 1
Project ID,19691
HMIS Project Type,1
Method for Tracking ES,0
Is the Services Only (HMIS Project Type 6) affiliated with a residential project?,
Identify the Project ID's of the housing projects this project is affiliated with,
Organization Name,Possum Lodge 2
Organization ID,POS
Project Name,SSVF Export Test HP
Project ID,19767
HMIS Project Type,12
Method for Tracking ES,
Is the Services Only (HMIS Project Type 6) affiliated with a residential project?,
Identify the Project ID's of the housing projects this project is affiliated with,
Organization Name,Possum Lodge 2
Organization ID,POS
Project Name,SSVF Export Test RRH
Project ID,19768
HMIS Project Type,13
Method for Tracking ES,
Is the Services Only (HMIS Project Type 6) affiliated with a residential project?,
Identify the Project ID's of the housing projects this project is affiliated with,
Organization Name,Possum Lodge 2
Organization ID,POS
Project Name,Two Qualifying Last Wednesdays
Project ID,19864
HMIS Project Type,3
Method for Tracking ES,
Is the Services Only (HMIS Project Type 6) affiliated with a residential project?,
Identify the Project ID's of the housing projects this project is affiliated with,
Organization Name,Possum Lodge 2
Organization ID,POS
Project Name,Youth HoH with Child is CH
Project ID,19858
HMIS Project Type,2
Method for Tracking ES,
Is the Services Only (HMIS Project Type 6) affiliated with a residential project?,
Identify the Project ID's of the housing projects this project is affiliated with,
Organization Name,Possum Lodge 2
Organization ID,POS
Project Name,zPossum Lodge
Project ID,19661
HMIS Project Type,6
Method for Tracking ES,
Is the Services Only (HMIS Project Type 6) affiliated with a residential project?,0
Identify the Project ID's of the housing projects this project is affiliated with,
Organization Name,Possum Lodge 2
Organization ID,POS
Project Name,zPossum Lodge  ESG ES nbn
Project ID,19628
HMIS Project Type,1
Method for Tracking ES,3
Is the Services Only (HMIS Project Type 6) affiliated with a residential project?,
Identify the Project ID's of the housing projects this project is affiliated with,
Organization Name,Possum Lodge 2
Organization ID,POS
Project Name,zPossum Lodge AHAR TH-FAM
Project ID,19671
HMIS Project Type,2
Method for Tracking ES,
Is the Services Only (HMIS Project Type 6) affiliated with a residential project?,
Identify the Project ID's of the housing projects this project is affiliated with,
Organization Name,Possum Lodge 2
Organization ID,POS
Project Name,zPossum Lodge CoC CE
Project ID,19649
HMIS Project Type,14
Method for Tracking ES,
Is the Services Only (HMIS Project Type 6) affiliated with a residential project?,
Identify the Project ID's of the housing projects this project is affiliated with,
Organization Name,Possum Lodge 2
Organization ID,POS
Project Name,zPossum Lodge CoC HP
Project ID,19646
HMIS Project Type,12
Method for Tracking ES,
Is the Services Only (HMIS Project Type 6) affiliated with a residential project?,
Identify the Project ID's of the housing projects this project is affiliated with,
Organization Name,Possum Lodge 2
Organization ID,POS
Project Name,zPossum Lodge CoC PH Only
Project ID,19645
HMIS Project Type,9
Method for Tracking ES,
Is the Services Only (HMIS Project Type 6) affiliated with a residential project?,
Identify the Project ID's of the housing projects this project is affiliated with,
Organization Name,Possum Lodge 2
Organization ID,POS
Project Name,zPossum Lodge CoC PSH
Project ID,19641
HMIS Project Type,3
Method for Tracking ES,
Is the Services Only (HMIS Project Type 6) affiliated with a residential project?,
Identify the Project ID's of the housing projects this project is affiliated with,
Organization Name,Possum Lodge 2
Organization ID,POS
Project Name,zPossum Lodge CoC RRH
Project ID,19647
HMIS Project Type,13
Method for Tracking ES,
Is the Services Only (HMIS Project Type 6) affiliated with a residential project?,
Identify the Project ID's of the housing projects this project is affiliated with,
Organization Name,Possum Lodge 2
Organization ID,POS
Project Name,zPossum Lodge CoC Services only for Res
Project ID,19648
HMIS Project Type,6
Method for Tracking ES,
Is the Services Only (HMIS Project Type 6) affiliated with a residential project?,1
Identify the Project ID's of the housing projects this project is affiliated with,19645
Organization Name,Possum Lodge 2
Organization ID,POS
Project Name,zPossum Lodge CoC SH
Project ID,19644
HMIS Project Type,8
Method for Tracking ES,
Is the Services Only (HMIS Project Type 6) affiliated with a residential project?,
Identify the Project ID's of the housing projects this project is affiliated with,
Organization Name,Possum Lodge 2
Organization ID,POS
Project Name,zPossum Lodge CoC SO
Project ID,19642
HMIS Project Type,4
Method for Tracking ES,
Is the Services Only (HMIS Project Type 6) affiliated with a residential project?,
Identify the Project ID's of the housing projects this project is affiliated with,
Organization Name,Possum Lodge 2
Organization ID,POS
Project Name,zPossum Lodge CoC SSO
Project ID,19643
HMIS Project Type,
Method for Tracking ES,
Is the Services Only (HMIS Project Type 6) affiliated with a residential project?,
Identify the Project ID's of the housing projects this project is affiliated with,
Organization Name,Possum Lodge 2
Organization ID,POS
Project Name,zPossum Lodge CoC TH Prog
Project ID,19640
HMIS Project Type,2
Method for Tracking ES,
Is the Services Only (HMIS Project Type 6) affiliated with a residential project?,
Identify the Project ID's of the housing projects this project is affiliated with,
Organization Name,Possum Lodge 2
Organization ID,POS
Project Name,zPossum Lodge ESG Day Shelter
Project ID,19657
HMIS Project Type,11
Method for Tracking ES,
Is the Services Only (HMIS Project Type 6) affiliated with a residential project?,
Identify the Project ID's of the housing projects this project is affiliated with,
Organization Name,Possum Lodge 2
Organization ID,POS
Project Name,zPossum Lodge ESG HP
Project ID,19658
HMIS Project Type,12
Method for Tracking ES,
Is the Services Only (HMIS Project Type 6) affiliated with a residential project?,
Identify the Project ID's of the housing projects this project is affiliated with,
Organization Name,Possum Lodge 2
Organization ID,POS
Project Name,zPossum Lodge ESG RRH
Project ID,19659
HMIS Project Type,13
Method for Tracking ES,
Is the Services Only (HMIS Project Type 6) affiliated with a residential project?,
Identify the Project ID's of the housing projects this project is affiliated with,
Organization Name,Possum Lodge 2
Organization ID,POS
Project Name,zPossum Lodge ESG Street Outreach
Project ID,19656
HMIS Project Type,4
Method for Tracking ES,
Is the Services Only (HMIS Project Type 6) affiliated with a residential project?,
Identify the Project ID's of the housing projects this project is affiliated with,
Organization Name,Possum Lodge 2
Organization ID,POS
Project Name,zPossum Lodge HCHV/Emergency Contract
Project ID,19634
HMIS Project Type,1
Method for Tracking ES,0
Is the Services Only (HMIS Project Type 6) affiliated with a residential project?,
Identify the Project ID's of the housing projects this project is affiliated with,
Organization Name,Possum Lodge 2
Organization ID,POS
Project Name,zPossum Lodge HOPWA Hotel/Motel Voucher nbn Prog
Project ID,19635
HMIS Project Type,1
Method for Tracking ES,3
Is the Services Only (HMIS Project Type 6) affiliated with a residential project?,
Identify the Project ID's of the housing projects this project is affiliated with,
Organization Name,Possum Lodge 2
Organization ID,POS
Project Name,zPossum Lodge HOPWA Housing Info Program SSO
Project ID,19638
HMIS Project Type,6
Method for Tracking ES,
Is the Services Only (HMIS Project Type 6) affiliated with a residential project?,0
Identify the Project ID's of the housing projects this project is affiliated with,
Organization Name,Possum Lodge 2
Organization ID,POS
Project Name,zPossum Lodge HOPWA Permanent Housing
Project ID,19663
HMIS Project Type,3
Method for Tracking ES,
Is the Services Only (HMIS Project Type 6) affiliated with a residential project?,
Identify the Project ID's of the housing projects this project is affiliated with,
Organization Name,Possum Lodge 2
Organization ID,POS
Project Name,zPossum Lodge HOPWA Permanent Housing Placement
Project ID,19662
HMIS Project Type,6
Method for Tracking ES,
Is the Services Only (HMIS Project Type 6) affiliated with a residential project?,0
Identify the Project ID's of the housing projects this project is affiliated with,
Organization Name,Possum Lodge 2
Organization ID,POS
Project Name,zPossum Lodge HOPWA STRMU HP
Project ID,19636
HMIS Project Type,12
Method for Tracking ES,
Is the Services Only (HMIS Project Type 6) affiliated with a residential project?,
Identify the Project ID's of the housing projects this project is affiliated with,
Organization Name,Possum Lodge 2
Organization ID,POS
Project Name,zPossum Lodge HOPWA TH
Project ID,19637
HMIS Project Type,2
Method for Tracking ES,
Is the Services Only (HMIS Project Type 6) affiliated with a residential project?,
Identify the Project ID's of the housing projects this project is affiliated with,
Organization Name,Possum Lodge 2
Organization ID,POS
Project Name,zPossum Lodge PATH SO
Project ID,19650
HMIS Project Type,4
Method for Tracking ES,
Is the Services Only (HMIS Project Type 6) affiliated with a residential project?,
Identify the Project ID's of the housing projects this project is affiliated with,
Organization Name,Possum Lodge 2
Organization ID,POS
Project Name,zPossum Lodge PATH SSO
Project ID,19651
HMIS Project Type,6
Method for Tracking ES,
Is the Services Only (HMIS Project Type 6) affiliated with a residential project?,0
Identify the Project ID's of the housing projects this project is affiliated with,
Organization Name,Possum Lodge 2
Organization ID,POS
Project Name,zPossum Lodge PIH
Project ID,19736
HMIS Project Type,3
Method for Tracking ES,
Is the Services Only (HMIS Project Type 6) affiliated with a residential project?,
Identify the Project ID's of the housing projects this project is affiliated with,
Organization Name,Possum Lodge 2
Organization ID,POS
Project Name,zPossum Lodge RHY BCP-E
Project ID,19629
HMIS Project Type,1
Method for Tracking ES,0
Is the Services Only (HMIS Project Type 6) affiliated with a residential project?,
Identify the Project ID's of the housing projects this project is affiliated with,
Organization Name,Possum Lodge 2
Organization ID,POS
Project Name,zPossum Lodge RHY BCP-P
Project ID,19630
HMIS Project Type,12
Method for Tracking ES,
Is the Services Only (HMIS Project Type 6) affiliated with a residential project?,
Identify the Project ID's of the housing projects this project is affiliated with,
Organization Name,Possum Lodge 2
Organization ID,POS
Project Name,zPossum Lodge RHY Demo
Project ID,19654
HMIS Project Type,6
Method for Tracking ES,
Is the Services Only (HMIS Project Type 6) affiliated with a residential project?,0
Identify the Project ID's of the housing projects this project is affiliated with,
Organization Name,Possum Lodge 2
Organization ID,POS
Project Name,zPossum Lodge RHY MGH TH
Project ID,19653
HMIS Project Type,2
Method for Tracking ES,
Is the Services Only (HMIS Project Type 6) affiliated with a residential project?,
Identify the Project ID's of the housing projects this project is affiliated with,
Organization Name,Possum Lodge 2
Organization ID,POS
Project Name,zPossum Lodge RHY Street Outreach
Project ID,19655
HMIS Project Type,4
Method for Tracking ES,
Is the Services Only (HMIS Project Type 6) affiliated with a residential project?,
Identify the Project ID's of the housing projects this project is affiliated with,
Organization Name,Possum Lodge 2
Organization ID,POS
Project Name,zPossum Lodge RHY TLP TH Prog
Project ID,19652
HMIS Project Type,2
Method for Tracking ES,
Is the Services Only (HMIS Project Type 6) affiliated with a residential project?,
Identify the Project ID's of the housing projects this project is affiliated with,
Organization Name,Possum Lodge 2
Organization ID,POS
Project Name,zPossum Lodge SSVF HP
Project ID,19631
HMIS Project Type,12
Method for Tracking ES,
Is the Services Only (HMIS Project Type 6) affiliated with a residential project?,
Identify the Project ID's of the housing projects this project is affiliated with,
Organization Name,Possum Lodge 2
Organization ID,POS
Project Name,zPossum Lodge SSVF RRH
Project ID,19632
HMIS Project Type,13
Method for Tracking ES,
Is the Services Only (HMIS Project Type 6) affiliated with a residential project?,
Identify the Project ID's of the housing projects this project is affiliated with,
Organization Name,Possum Lodge 2
Organization ID,POS
Project Name,zPossum Lodge VA GDP TIP
Project ID,19711
HMIS Project Type,10
Method for Tracking ES,
Is the Services Only (HMIS Project Type 6) affiliated with a residential project?,
Identify the Project ID's of the housing projects this project is affiliated with,
Organization Name,Possum Lodge 2
Organization ID,POS
Project Name,zPossum Lodge VA GPD Bridge
Project ID,19712
HMIS Project Type,2
Method for Tracking ES,
Is the Services Only (HMIS Project Type 6) affiliated with a residential project?,
Identify the Project ID's of the housing projects this project is affiliated with,
Organization Name,Possum Lodge 2
Organization ID,POS
Project Name,zPossum Lodge VA GPD TH
Project ID,19633
HMIS Project Type,2
Method for Tracking ES,
Is the Services Only (HMIS Project Type 6) affiliated with a residential project?,
Identify the Project ID's of the housing projects this project is affiliated with,
Organization Name,Possum Lodge 2
Organization ID,POS
Project Name,zPossum Lodge VA HUD-VASH PSH
Project ID,19639
HMIS Project Type,3
Method for Tracking ES,
Is the Services Only (HMIS Project Type 6) affiliated with a residential project?,
Identify the Project ID's of the housing projects this project is affiliated with,
Organization Name,Possum Lodge 2
Organization ID,POS
Project Name,zPossumLodge AHAR ES-IND
Project ID,19670
HMIS Project Type,1
Method for Tracking ES,0
Is the Services Only (HMIS Project Type 6) affiliated with a residential project?,
Identify the Project ID's of the housing projects this project is affiliated with,
Organization Name,2017 PIT Test Organization
Organization ID,PTO
Project Name,"2nd Shelter, Varying Type"
Project ID,19678
HMIS Project Type,2
Method for Tracking ES,
Is the Services Only (HMIS Project Type 6) affiliated with a residential project?,
Identify the Project ID's of the housing projects this project is affiliated with,
Organization Name,2017 PIT Test Organization
Organization ID,PTO
Project Name,PIT ES e/e shelter
Project ID,19672
HMIS Project Type,1
Method for Tracking ES,0
Is the Services Only (HMIS Project Type 6) affiliated with a residential project?,
Identify the Project ID's of the housing projects this project is affiliated with,
Organization Name,2017 PIT Test Organization
Organization ID,PTO
Project Name,PIT ES nbn Shelter
Project ID,19675
HMIS Project Type,1
Method for Tracking ES,3
Is the Services Only (HMIS Project Type 6) affiliated with a residential project?,
Identify the Project ID's of the housing projects this project is affiliated with,
Organization Name,2017 PIT Test Organization
Organization ID,PTO
Project Name,PIT Safe Haven Project
Project ID,19674
HMIS Project Type,8
Method for Tracking ES,
Is the Services Only (HMIS Project Type 6) affiliated with a residential project?,
Identify the Project ID's of the housing projects this project is affiliated with,
Organization Name,2017 PIT Test Organization
Organization ID,PTO
Project Name,PIT TH Project
Project ID,19673
HMIS Project Type,2
Method for Tracking ES,
Is the Services Only (HMIS Project Type 6) affiliated with a residential project?,
Identify the Project ID's of the housing projects this project is affiliated with,
Organization Name,R Organization
Organization ID,RON
Project Name,R SO PIT
Project ID,19831
HMIS Project Type,4
Method for Tracking ES,
Is the Services Only (HMIS Project Type 6) affiliated with a residential project?,
Identify the Project ID's of the housing projects this project is affiliated with,
Organization Name,R Organization
Organization ID,RON
Project Name,R Street Outreach HMIS
Project ID,19825
HMIS Project Type,4
Method for Tracking ES,
Is the Services Only (HMIS Project Type 6) affiliated with a residential project?,
Identify the Project ID's of the housing projects this project is affiliated with,
Organization Name,SD Enterprises
Organization ID,SDO
Project Name,! Exp Prog
Project ID,19482
HMIS Project Type,3
Method for Tracking ES,
Is the Services Only (HMIS Project Type 6) affiliated with a residential project?,
Identify the Project ID's of the housing projects this project is affiliated with,
Organization Name,SD Enterprises
Organization ID,SDO
Project Name,! Exp Prog 2
Project ID,19483
HMIS Project Type,1
Method for Tracking ES,0
Is the Services Only (HMIS Project Type 6) affiliated with a residential project?,
Identify the Project ID's of the housing projects this project is affiliated with,
Organization Name,SD Enterprises
Organization ID,SDO
Project Name,! Exp Prog 3
Project ID,19484
HMIS Project Type,1
Method for Tracking ES,0
Is the Services Only (HMIS Project Type 6) affiliated with a residential project?,
Identify the Project ID's of the housing projects this project is affiliated with,19517
Organization Name,SD Enterprises
Organization ID,SDO
Project Name,! Exp Prog 4
Project ID,19485
HMIS Project Type,1
Method for Tracking ES,3
Is the Services Only (HMIS Project Type 6) affiliated with a residential project?,
Identify the Project ID's of the housing projects this project is affiliated with,
Organization Name,SD Enterprises
Organization ID,SDO
Project Name,! Exp Prog 5
Project ID,19486
HMIS Project Type,3
Method for Tracking ES,
Is the Services Only (HMIS Project Type 6) affiliated with a residential project?,
Identify the Project ID's of the housing projects this project is affiliated with,
Organization Name,SD Enterprises
Organization ID,SDO
Project Name,! Prog Imp3 Dev
Project ID,19513
HMIS Project Type,13
Method for Tracking ES,
Is the Services Only (HMIS Project Type 6) affiliated with a residential project?,
Identify the Project ID's of the housing projects this project is affiliated with,
Organization Name,SD Enterprises
Organization ID,SDO
Project Name,! Prog PSH 1
Project ID,19380
HMIS Project Type,8
Method for Tracking ES,
Is the Services Only (HMIS Project Type 6) affiliated with a residential project?,
Identify the Project ID's of the housing projects this project is affiliated with,
Organization Name,SD Enterprises
Organization ID,SDO
Project Name,!! 0 Prog Esg2
Project ID,19669
HMIS Project Type,4
Method for Tracking ES,
Is the Services Only (HMIS Project Type 6) affiliated with a residential project?,
Identify the Project ID's of the housing projects this project is affiliated with,
Organization Name,SD Enterprises
Organization ID,SDO
Project Name,!! Prog 12
Project ID,19526
HMIS Project Type,3
Method for Tracking ES,
Is the Services Only (HMIS Project Type 6) affiliated with a residential project?,
Identify the Project ID's of the housing projects this project is affiliated with,"19482,19542,19590"
Organization Name,SD Enterprises
Organization ID,SDO
Project Name,!! Prog 13
Project ID,19536
HMIS Project Type,1
Method for Tracking ES,0
Is the Services Only (HMIS Project Type 6) affiliated with a residential project?,
Identify the Project ID's of the housing projects this project is affiliated with,
Organization Name,SD Enterprises
Organization ID,SDO
Project Name,!! Prog ESG 2
Project ID,19539
HMIS Project Type,1
Method for Tracking ES,0
Is the Services Only (HMIS Project Type 6) affiliated with a residential project?,
Identify the Project ID's of the housing projects this project is affiliated with,
Organization Name,SD Enterprises
Organization ID,SDO
Project Name,!! Prog ESG1
Project ID,19538
HMIS Project Type,4
Method for Tracking ES,
Is the Services Only (HMIS Project Type 6) affiliated with a residential project?,
Identify the Project ID's of the housing projects this project is affiliated with,
Organization Name,SD Enterprises
Organization ID,SDO
Project Name,!! Prog P17
Project ID,19687
HMIS Project Type,12
Method for Tracking ES,
Is the Services Only (HMIS Project Type 6) affiliated with a residential project?,
Identify the Project ID's of the housing projects this project is affiliated with,
